index,used,title,author,publish_time,href,context,search
1,0,"경력자 카카오모빌리티, 쿠팡코딩테스트후기 - iOS, swift",Fredric Cliver,Sep 20. 2021,https://brunch.co.kr/@@1ffm/4,"최근 카카오모빌리티와 쿠팡에 iOS 개발 직군으로 지원하여코딩테스트를 모두 완료했다. 경력 10년차 이지만, 개발외에 마케팅 디자인, 기획, 스타트업 창업 등 다사다난 한 이력으로 인해 실제 개발 경험은 3-5년차 쯤 되지 않을 까 싶다. 하지만 그...",코딩테스트
2,0,"소프트웨어부흥으로 소외받는 하드웨어에게 하고 싶은 말 - ""우린 우리의 일을 하면 된다.""",똥이애비,Sep 10. 2022,https://brunch.co.kr/@@ev8s/23,코로나로 인해 IT업계의 시계가 5년 이상은 빨라진 것 같다. 그러면서 자연스럽게소프트웨어인력들이 각광받고 있다. IT업계뿐만 아니라 내가 속한 자동차 업계와 같은 전통 산업에서도 부족한소프트웨어인력을 확보하기 위해 갖은 노력들을 하고 있다...,소프트웨어
3,0,소프트웨어업데이트 - 1025 그림일기 웹툰,섭카,Oct 25. 2022,https://brunch.co.kr/@@7EAm/1038,연례행사 같은 매년 10월 애플의 업데이트. 신나고 즐거운 업데이트. 업데이트는 바로바로 하는 성격인데 오늘 iPad os 16.1이 나왔다 좋다. 뭐 기능이 새로 생긴다고 그 기능을 엄청 잘 쓸 것도 아니지만 뭔가 지원받는다는 느낌이 좋은 것 같다. 물론...,소프트웨어
4,0,"매순간 도전하는 도다의프론트엔드개발자, 현수님 - 도다팀원 인터뷰",도다마인드 팀 블로그,Oct 24. 2022,https://brunch.co.kr/@@cqoe/71,"도다팀의프론트엔드개발자 현수님은 스스로의 일을 이렇게 설명합니다. 매순간 도전하며 성장하는 재미를 느끼는 게임(or 놀이) 자신의 일을 놀이처럼 사랑하고 즐거워하는 현수님과 함께, 도다팀의 개발팀에 대한 이야기를 나누어 보았습니다. 도다팀의...",프론트엔드
5,0,개발을 아는 PM이 되고 싶어요. (프론트엔드),이정,Oct 06. 2022,https://brunch.co.kr/@@a46c/40,"수 밖에 없을 거 같습니다. 이러한 부분에서 PM은 개발 지식을 알아야할 의무가 있는 거라고 생각합니다. 첫번째로, 오늘은프론트엔드에 지식에 대해 배웠습니다. 지금까지 짧은 지식으로는프론트엔드는 사용자 눈에 보이는 모든 부분을 가르키는 말...",프론트엔드
6,0,주니어를 위한 소소한백엔드개발 이야기 97 - 5. Object Pool Pattern,에디의 기술블로그,Nov 20. 2022,https://brunch.co.kr/@@2MrI/780,"주니어를 위한 소소한백엔드개발 이야기의 5번째 주제는 Object Pool Pattern 입니다. 너무 오랫만에 작성하는 글인데, 대충 글을 쓰고 다시 읽어보니 매우 잡다한 글이 되었습니다. 가벼운 마음으로 읽어주세요. 이 글에서는 부득이하게 Java & Spring...",백엔드
7,0,소프트웨어의료기기란? - SaMD(Softwareas Medcial Device)에 대한 고찰,경우,Nov 20. 2022,https://brunch.co.kr/@@9tvs/10,"디지털 헬스케어의 미래는 일상의 의료가 되는 것 최근 ""디지털"" 헬스케어가 급부상하면서소프트웨어를 통한 건강 관리, 질병의 진단 및 치료를 보조하기 위한 다양한 솔루션들이 등장하고 있습니다. 이러한 디지털 전환으로의 변화는 당연히 밟아야 할...",소프트웨어
8,0,신형 그랜저의 무선소프트웨어업데이트 - 새롭게 적용된 무선소프트웨어업데이트 항목은 어떤 것이 있는지 소개한다,HMG 저널,Nov 15. 2022,https://brunch.co.kr/@@3hBb/700,"갖추게 된 대표적인 특징 중 하나는 현대자동차그룹 역대 최다 수준의 무선(OTA, Over The Air)소프트웨어업데이트가 적용됐다는 점이다. 무선소프트웨어업데이트란 신규 기능이 개발되거나 사용 환경 및 품질을 개선하기 위해 보완 조치가 필요할...",소프트웨어
9,0,"#22. 토스 찬양론자가 된 이유 - 아니, 진짜 이번 토스 디자인 컨퍼런스 보셔야 해요!",브론즈실버,May 27. 2023,https://brunch.co.kr/@@ev0e/26,"우리를 생각해서 만든 것 같다니까? 심리 전문가가 있는 게 분명해! "" 오빠는 이제는 이골이 난다고 한다.ㅋㅋ (프론트개발자인 남자친구가 나중에 본인이 좋은 개발 말고, 사용자에게 좋은 개발을 했으면 좋겠다. 진심으로. ) 워라밸 같은 건 내려놓고...",개발자
10,0,기업이 원하는 PM의 조건은 무엇일까? - PM의 JD를 알아보자,jinhooah,May 27. 2023,https://brunch.co.kr/@@16zO/4,"우선순위, 업무를 정의하고 수행할 수 있는 실행력 + GA / 앰플리튜드 등 분석 Tool을 활용하여 분석 및 기획한 경험 +백엔드흐름에 대한 이해와 API 스펙, 정책 설계 및 요구사항을 기획에 반영할 수 있는 능력 4. 우대사항 분석 1. 대규모 프로젝트...",백엔드
11,0,ChatGTP 노는 일기 ③ - 코알못이 얘랑 같이코딩하는 이야기,studymtm,May 26. 2023,https://brunch.co.kr/@@6Sa/100,"괜히 받았다. 증맬 나의 오늘의 도전은, 1. DSC 실험 결과의 peak analysis 를 위한 코드를 짜기로 했다. 2. 나는 컴알못이다/코딩은 나의 적 3. 정확하게 두개의 산이 생기는 경우는 괜찮지만 mAbs 의 특성상 shoulder peak point를 구해야 하는 경우가...",코딩
12,0,지극히 개인적인 성장 이야기,lateBloomer,May 26. 2023,https://brunch.co.kr/@@5Axn/91,"없었던 것 같다. (역시 돈이 걸려있어야 열심히 한다. 음?) 그렇게 힘겹게 실습, 과제, 시험을 치르면서 어렵게만 느껴졌던코딩이 갑자기 쉽게 느껴지던 순간이 아직 기억이 난다. 비슷한 난이도의코딩과제는 시간을 들이고 고민을 계속하면 풀 수 있을...",코딩
13,1,"ChatGPT의 새로운 대항마, 구글 ‘Bard’",Mobiinside,May 26. 2023,https://brunch.co.kr/@@zIH/5243,"한국어와 일본어를 골랐다는 것이 흥미롭다고 생각합니다. 실제로, 순다 피차이 구글 CEO는 행사 현장에서 직접 한국어로코딩을 하는 모습을 선보였죠. 순다 피차이 Google CEO 바드가 GPT와 구별되는 가장 큰 특징은 ‘실시간’과 ‘시각적인 요소...",코딩
14,0,현직 공무원의 창업 부트캠프 {창} 후기(1) - 새로운 세계의 문을 두드리다,Lady Spider,May 26. 2023,https://brunch.co.kr/@@eZo1/34,후기를 읽고 갑자기 나도 할 수 있지 않을까 하는 생각이 들었다. 보통 사람들이 큰 일 낼 수 있는 세상. 그것이 스파르타코딩클럽 대표님이 꿈꾸는 세상 아니었던가. “구체적인 창업 아이템이 있으신가요?”라고 전화 면접하시는 분의 질문에 “글쎄요...,코딩
15,0,새로운 '산업용 포장' 종류 소개 - 수출을 위한 강력한 포장 솔루션.,도미노코리아,May 26. 2023,https://brunch.co.kr/@@9Szd/136,먼지와 습기로부터 보호합니다. 이번 글에서는 '산업용 포장'에 대해 알아보았습니다. 도미노코리아는 다음 포스팅에서도 더욱 유용하고 흥미로운코딩&마킹 이야기로 돌아오겠습니다. >> 도미노코리아 제품 문의 #도미노코리아 #산업용 #포장 #방법 #패키징,코딩
16,1,[공유] Microsoft Build 2023 - 01 - 어쩌다 보니 MS...,Dan Lee,May 26. 2023,https://brunch.co.kr/@@3o1/21,평가 지원 개발자 도구 및 앱 플랫폼 포트폴리오 업데이트 Microsoft Dev Box(개발자가 안전하고 중앙에서 관리되며 바로코딩할 수 있는 프로젝트별 개발 상자에 액세스 지원) 7월 출시 예정 Azure DevOps용 GitHub Advanced Security(Preview 제공)는...,코딩
17,0,창작할 때 연습보다 중요한 것 - 주의: 모든 창작에 해당됨,글 써주는 남자,May 26. 2023,https://brunch.co.kr/@@Lxv/166,"등 ChatGPT가 많은 걸 해주는 시대이지만, 여전히 그런 많은 도구들을 가지고 우리는 창작물로 경쟁을 한다.코딩역시 마찬가지이다.코딩을 잘 못하는 사람은 코드를 가져다 붙인다. 예를 들어 HTML로 <table> </table>을 생성할 때 그냥 있는 자료 모두...",코딩
18,0,글로벌 앱스토어에 진출하기 위한 레퍼런스를 찾는 법 - 미국 시장에서 흥행하는 게임은 무엇일까?,석세스,May 26. 2023,https://brunch.co.kr/@@frv9/2,"한국에서만 매출이 난다 사실 위에 나열한 것은 사업 전략을 잡는 분들에게도 도움이 되겠지만, 게임을 실제로 개발하는개발자분들께 더욱 도움이 되었으면 좋겠다. 우리나라의 게임 업계가 한 발짝 더 나아가기 위해선 시장에 몸담고 있는 가장 기초...",개발자
19,0,천천히 산책하며 살고 싶다. - 한울지 기고문,작은청지기,May 26. 2023,https://brunch.co.kr/@@fjiL/44,"하나를 발견했다. ""오늘도 뛴다""는 제목이었다. 파일을 열어 봤다. 내가 출판사로 발령받았을 때 쓴 글이었다. 전산실에서개발자로 일하다가 출판사의 편집장으로 보직을 바꾼다는 것은 일반적으로 상상할 수 없는 일이다. 그런데 나를 잘 아는 경영자의...",개발자
