index,used,title,author,publish_time,href,context,search
1,0,15년 전 만든 어드민페이지 스토리보드를 보며 - 대학생 때의 패기,조샘물,Jun 16. 2023,https://brunch.co.kr/@@lfR/24,"스킵 12페이지로 점프 24페이지로 마무리 당시 이 투박하고 무질서한 29페이지의 ppt 문서를 인쇄하고, 해당 기업의개발자분과 이 문서로 미팅하며 이 정도는 충분히 구현 가능하다는 답변을 받았던게 기억난다. 하지만 결국 이 기업으로의 서비스 양도는...",개발자
2,0,토요일 새벽 6시 퇴근 회고 - 팀원이 언제 퇴근했는지? 모르는 팀장,악어,Jun 16. 2023,https://brunch.co.kr/@@1WCq/260,"해당 수정 요청을 마무리 지었구요! 퇴근 하기 전, 그분께서 저의 프로젝트 '폴더 정리 방식'과 업무 중 뛰워져 있는 여러소프트웨어들의 '윈도우 창 배치 방식'에 대해 지적하고 지랄맞은 조언을 해주셨지만요! 그 날, 팀장의 메시지가 여러번 도착...",소프트웨어
3,0,장수하는 IP는 무엇이 다를까 - 우리 IP의 흥망성쇠 : 3편 장수하는 IP 특성 살펴보기,스토리플레이어,Jun 16. 2023,https://brunch.co.kr/@@9D16/27,2020년을 끝으로 어도비 플래시가 서비스를 종료하며 더이상 웹브라우저에서 즐길 수 없게 되었습니다. 이처럼 특정소프트웨어로만 구현이 가능하거나 제한적인 디바이스에서만 즐길 수 있는 콘텐츠는 해당소프트웨어나 디바이스에 의해 수명이 결정되어...,소프트웨어
4,0,9. 비즈니스 모델 실습 - 당신의 아이디어가 비즈니스가 되는 순간,강코치,Jun 16. 2023,https://brunch.co.kr/@@ABO/301,"간에서 무엇을 제공하며 무엇을 받는지를 표현한 것입니다. 거래라는 쌍방향의 관계라 할 수 있습니다. 판매모델은 자사가소프트웨어를 개발하여 판매 채널을 통해 판매하되, 사용자에게 소유권 및 사용권이 부여되는 모델입니다. PC에 설치되는...",소프트웨어
5,0,[에세이] 내 일하며 잘 살기 (1) - 직장과 헤어질 결심,박시형,2시간전,https://brunch.co.kr/@@a1cc/158,"아마 명문대를 졸업한 대기업 출신 퇴사자라고 하더라도 그 자체만으로는 눈길을 끌지 못할 것이다. MIT를 졸업한 애플개발자가 퇴사했다면 이야기가 좀 달라지겠지만. 대신 사람들의 관심사는 '퇴사'에서 한 걸음 더 나아가, 퇴사 이후의 삶에 대해 궁금...",개발자
6,1,"데이터를 읽는 능력이, 내 세상의 한계다 - 데이터 리터러시와 AI 리터러시",이노핏파트너스 innoFIT Partners,3시간전,https://brunch.co.kr/@@9xP4/250,필요 인력의 차이를 나타내는 인력 부족률은 12.2%로 나타났습니다. 분야별로는 △데이터 과학자 △데이터 분석가 △데이터개발자등이 필요 직무로 손꼽혔습니다. 이같은 상황에도 데이터 기본법에 대한 기대가 커지고 있습니다. 데이터 기본법은 데이터...,개발자
7,0,오토레이아웃의 시작 (feat. Apple),스무,3시간전,https://brunch.co.kr/@@axQG/11,가지고 출시가 되었어요. 아이폰 시리즈 최초로 기기간 사이즈가 달라지게 된 것이죠. 이렇게 스크린의 크기가 커지면서개발자들은 기존의 화면에서 동작하던 앱들이 4인치 화면에서도 동일하게 동작할 수 있는 솔루션이 필요했는데 그것이 바로 애플의...,개발자
8,0,[IT 뉴스레터] 애플 '비전 프로' 출시 - 6월 3주 차 - 애플 혼합현실 헤드셋 '비전 프로' 출시,하이퍼클라우드,7시간전,https://brunch.co.kr/@@eJme/63,"찾아뵐게요! 하이퍼클라우드 뉴스레터는 1,3주 금요일 발행됩니다. 지난 IT 뉴스 트렌드 살펴보기 >> ► [6월 1주 차] 토스개발자컨퍼런스 ‘SLASH 2023’ 개최 ► [5월 3주차] 드디어 나왔어요. 카카오톡, 조용히 나가기 기능 추가 다른 흥미로운 콘텐츠...",개발자
9,0,[외신] 대기업을 보면 스타트업의 미래를 알 수 있다.,Mobiinside,7시간전,https://brunch.co.kr/@@zIH/5313,"가는 선을 그릴 수 있다: 큰 흐름에 자신을 맞출 수 있는가? 우리가 간과하고 있는 것은 없는가? 이번 주 애플의 글로벌개발자회의 WWDC에서 애플은 AR/VR 헤드셋을 공개했다. 가격은 3,500달러로 상업적 성공을 거두지는 못하겠지만, 스타트업 기업...",개발자
10,0,[도서 리뷰]개발자원칙 - 이 좋은 걸개발자만 읽고 있었네,감자빵,8시간전,https://brunch.co.kr/@@5sgh/20,"개발자원칙 (2022.012. | 골든래빗 | 박성철 외 8명 공저 | 22,000원) 철저히 제목에 속아버렸다. 현업에 당장 쓸 만한 ‘클린 코드’나개발자로서 스펙을 증진시키는 꿀팁을 다루는 줄 알았던 이 책은개발자를 위한 기술서가 아니라개발자라는 직업을...",개발자
11,0,온보딩 경험을 개인화하는 4가지 방법,루피,8시간전,https://brunch.co.kr/@@feyX/63,"매출 증가 : 애플리케이션은 개인화된 추천 및 제안을 생성하여 사용자가 구매하도록 장려할 수 있으며, 이는 애플리케이션개발자또는 회사의 매출을 증가시킵니다. 설득력 있는 사용자 통찰력 : 개인화를 위해서는 사용자 선호도와 행동에 대한 정보를...",개발자
12,0,"""무려 773만 원 인상?"" 신형 싼타페 예상 가격은?",Torque,3시간전,https://brunch.co.kr/@@eLI2/392,"확인됐다. (사진=하이테크로 SNS) 여기에 디지털 키 2와 빌트인 캠 2, 에르고 모션 시트, 실내 지문 인증 시스템, 무선소프트웨어업데이트(OTA) 등의 신규 적용을 예상해 볼 수 있다. 일부 기능들은 그랜저 뿐 아니라 쏘나타에도 적용했던 만큼, 싼타페...",소프트웨어
13,0,"""진짜 역대급 고민"" 신형 싼타페 vs 신형 쏘렌토",Torque,4시간전,https://brunch.co.kr/@@eLI2/388,"두 차량의 안전 및 편의사양은? ㅡ 싼타페는 디지털 키 2와 빌트인 캠 2, 에르고 모션 시트, 실내 지문 인증 시스템, 무선소프트웨어업데이트(OTA) 등의 신규 적용을 예상해볼 수 있다. 일부 기능들은 그랜저 뿐 아니라 쏘나타에도 적용했던 만큼...",소프트웨어
14,0,"전기차로 부활한 폭스바겐 미니밴, 성능은 이 정도?",오토브런치,4시간전,https://brunch.co.kr/@@cwOA/3266,"유럽에만 우선 출시 ID.버즈 LWB에는 스티어링 휠로 제어하는 헤드업 디스플레이 성격의 5.3인치 디지털 클러스터와 최신소프트웨어로 구동되는 차세대 인포테인먼트 시스템, 직관적인 12.9인치 센터 디스플레이가 탑재된다. 차별화된 기술을 통해 음성...",소프트웨어
15,0,은퇴 후 1년 8개월,마리리,Jun 15. 2023,https://brunch.co.kr/@@1kMD/151,해도 매니저에게 연락이 왔다. 무서운 빅브라더 놈들. 나는 고등학교 때처럼 쉬는 시간에 나와서 라면을 먹었다. 매일코딩테스트가 있었다. 처음에는 무슨 소리인지도 이해할 수 없어서 헤맸지만 시간이 지나면서 나는 프로그래밍이란 것에 완전히...,코딩테스트
16,0,위기를 기회로: 불안한 시기를 극복하는 앱 성장전략 - Moloco&Appsflyer 세미나,말하는 감자 농부,Jun 15. 2023,https://brunch.co.kr/@@dIEW/67,"웹툰 등의 버티컬에서 사용 중인 예시가 있음 일반소재 대비 ROAS 높음 사용한 적이 있는데 어쨌든 피드 구성을 해야해서개발자의 도움이 필요. CTV(Connected Tv) 스마트 TV, 셋톱박스, TV 스틱, 게임 콘솔등에 포함되는 인터넷에 연결된 TV 캠페인 목적...",개발자
17,0,김밥전이 먹고 싶어 김밥을 말았다. - 메뉴개발자의 하루 한 끼,푸드 큐레이터 서윤,Jun 15. 2023,https://brunch.co.kr/@@8POu/70,"김밥전이 먹고 싶어 김밥을 말았다. 있는 재료로 만들다 보니 단무지 빠진 김밥이 되었다. 고추냉이, 마요네즈에 케첩 조금 넣어 김밥전 소스를 준비했다. 토마토와 천도복숭아를 함께 볶으려다 말고 플래시 하게 먹고 싶어 져서 김밥전 위에 올려먹을...",개발자
18,0,"상상은 현실이 된다. 그것이 유토피아든, 디스토피아든. - <AI쇼크, 다가올 미래> 모 가댓",짱고아빠,Jun 15. 2023,https://brunch.co.kr/@@2XcX/178,가능할지도 모르겠다. AI는 감정에 휩쓸린 인간보다 훨씬 객관적이고 합리적이다. 4. 나 같은 사람도 머신러닝을 실험하는데개발자들은 오죽할까. 하지만 안타깝게도 그들의 실험 결과는 다음과 같다. 러시아의 인공지능 앨리스는 보름 만에 폭력을 찬양...,개발자
19,0,질문이 자신의 표현이 되는 시대 <2> - 어느 인문학도가 바라본 GPT이후,시몬 베유,Jun 15. 2023,https://brunch.co.kr/@@7r5X/218,"후련하다 등등의 기분을 느낀다. 이 예시는 단순히 MBTI의 F나 T의 문제는 아닌 것 같다. 이와 같은 반응들은 다름 아닌개발자커뮤니티에서도 확인할 수 있다. 데이터베이스가 웹페이지와 ’ 접속’과 ‘연결’하는데 문제가 생기고, 그것을 열심히 푸는...",개발자
20,0,미완의 테스터 - 김영나 개인전 《TESTER》,moonhayn,Jun 15. 2023,https://brunch.co.kr/@@38iv/68,7. 8 테스터 (TESTER_는 흔히 어떤 제품이 완성을 눈앞에 두고 있거나 실험 과정이 결론을 내리기 직전에 등장하는 개념이다.개발자는 처음 세웠던 가설의 논리나 상상했던 기능에 대해 충분한 확신을 지닌 채 마지막 빈칸 ― 테스트 (TEST) 단계를 남겨...,개발자
21,0,LINE NFT 마켓플레이스 ‘DOSI’ 역기획하기,Mobiinside,Jun 15. 2023,https://brunch.co.kr/@@zIH/5311,보관하고 송금할 수 있으며 반드시 DOSI Wallet만을 이용해야 한다. – 블록체인 네트워크 구조(핀시아 네트워크) 만약개발자가 핀시아 네트워크를 이용해 ‘사용자 간 토큰 전송 기능’을 사용하기 위해서는 심사위원회의 승인이 필요하다. LINE이...,개발자
22,0,서브웨이 샌드위치를 거부할 수 없어 - 음식도 효율적으로 선택해야 하는 시대,공작소오칠일,Jun 15. 2023,https://brunch.co.kr/@@RBj/183,맛의 다양성이 갖는 강점 때문이 아닐까. 물론 아침 시간에 맥모닝이나 서브웨이를 택하는 이유는 좀 다르겠지만. IT회사의개발자인 친구는 채소를 먹기 위해 매일 두 끼를 서브웨이 샌드위치로 해결한다고 말했다. 샐러드만 먹자니 탄수화물이 부족하고...,개발자
